#,Address,BLZ,Points,S,A,B,C
1,0xfe222BD8FcC0d6Cbec595d2eE000FC4C5f91b906,80901.254,807530,80,7,5,3
2,0x3a79262632AbD073bA445aefDAfF1a5488e20B70,47080.276,469940,46,9,9,4
3,0x31CA194dF1fF4A7bB0c1B874dB4e530Ef1cfD911,40073.436,400000,40,0,0,0
4,0xa027d8d063237bAbFCcd82E0E9d4D97ff45b9321,32693.912,326340,32,6,3,4
5,0xb357082eE428826efDb752af040cbF3Efdb84049,32554.657,324950,32,3,18,15
6,0x0d61f6f25E12d74B8eA7bC9A83526441be832F61,20907.313,208690,20,8,6,9
7,0x4302d1AaC2E1daD1891CaEB4d3Fedbb517c79fA4,17937.871,179050,0,166,119,115
8,0x50ED192cbe8A4e0B5F94C1Cdd245a92F454b76c5,17339.775,173080,17,3,0,8
9,0xC4907Fc03ba7B2Cf25Ca52b598C243b7479EDC87,12109.19,120870,12,0,8,7
10,0x475Cce96552F6Ea23bdf7370Ffb9eb7B3e23b168,12030.045,120080,12,0,0,8
11,0x10034CD27ED599bB54870E84B4bf25B090ec6d2D,10018.359,100000,10,0,0,0
12,0xDDcB91313B1744e366a088061739D138BCcA56bC,9561.521,95440,9,5,4,4
13,0x91bf28E62b7752097aFc4aF2FdbD27d0B41f778f,9048.581,90320,9,0,3,2
14,0xdD61b2a56E18b1cABAbbCd4184e23Cf270218EcB,7012.851,70000,7,0,0,0
15,0xAc2aF0Ed1B7185e4346Cdbf439BDE79d897698Be,5853.727,58430,5,8,4,3
16,0x8ae06d2a588F6A507E0997dcfaeBe5ccf6976bCC,5749.536,57390,5,7,3,9
17,0xC2d118937292ed6614Cdef46ffE336E40731a7a8,5548.167,55380,5,5,3,8
18,0x01D8C737Cf92bAAd532a9F5D5eFb3193d639A9E2,5466.016,54560,5,4,5,6
19,0xcCA02C00Ba4A580eB3EBfa20A317CdC17Caed4D5,5426.945,54170,5,4,1,7
20,0x03A507043314ef13A83aFFFbAf15d89055F64666,5209.546,52000,5,2,0,0
21,0x7b56efC5039eaC595a175712F34344a7Ee105d1D,5020.199,50110,5,0,1,1
22,0xF3A60FD05491731F6004a88CaA91f7f2dc01461B,5009.179,50000,5,0,0,0
23,0x0a5503295a0cf364f39B9E175c4b08Ec8fc82D28,4840.871,48320,4,8,3,2
24,0x3E52151b9F13c1F73c095BE69f6CF4fa3Eac14A2,4751.707,47430,4,7,4,3
25,0x56c202807C8caf656f6818cDC66C51fAf2eA1628,4659.538,46510,4,6,5,1
26,0xefBEe49244701f596E49FB649b46A8853f085020,4621.469,46130,4,6,1,3
27,0x27c1c08A4a12B005DB81521e42e3679710a8C5C8,4207.71,42000,4,2,0,0
28,0x66633Cc6B84CD127A0bb84864c1a4eA0172469A6,4163.63,41560,4,1,5,6
29,0xDBbD65026a07cFbFa1aa92744E4D69951686077d,4023.372,40160,4,0,1,6
30,0x560545E7f8A76D47056e3928abBF44D4432afc2D,4017.361,40100,4,0,1,0
31,0x2C21E5bDF5A29C6D6Dc89838C4815B539f9f8B89,4008.345,40010,4,0,0,1
31,0x656b51e1CEaD1d5C2dD64fA68A76aFB7eF91a528,4008.345,40010,4,0,0,1
33,0x43f591061e0c77f6cc4B2f6539c4e8A1f9aFFaa9,3434.293,34280,3,4,2,8
34,0x84c9c7dc5091AD2cd6a196Cd86581D3A71D551fA,3176.821,31710,3,1,7,1
35,0xe40bBd3CD595b1B834719c3E113ea64bBAc20052,3161.794,31560,3,1,5,6
36,0x7d4053510C0E2cE0f127cf890FdB84F1A36cDC6D,3082.649,30770,3,0,7,7
37,0x7185F37F81D132a185C2f4d19b8108C4a705bB3c,3075.636,30700,3,0,7,0
38,0x29168cce1A88138e9cdD3aEb509F1DfC6E21a857,3045.581,30400,3,0,4,0
39,0x7B4D11a3E5eaD71AD66fD70eff0Be1a5DD09336B,3006.509,30010,3,0,0,1
40,0x0332A05C57a3c9C56F06329fef7B12f30dff8085,3005.507,30000,3,0,0,0
40,0x22Ad71c076288AF6C73d10eaBaA27178eD243DDD,3005.507,30000,3,0,0,0
40,0x560e1C866725eDC4C3AaABE38683A7Ec8420C31F,3005.507,30000,3,0,0,0
40,0xd553Fe129584198F36DcF6e54Cd3176Af2d5BE0b,3005.507,30000,3,0,0,0
44,0x38afAEdb78E2A0018860b06FE231292184CA14c3,2996.491,29910,2,9,9,1
45,0x30790ccD8d366552484a27BD0f42E9c980D1C3E9,2976.454,29710,2,9,7,1
46,0xc60b91e889EFcB261b778E9E49834BCCd316E1bC,2925.36,29200,2,9,2,0
47,0xc047AC8BF1aa561b2385d39E129Aad4c27ea9237,2888.292,28830,2,8,8,3
48,0x1e2C165400D6Ea634771F4c2B3892515a1b6725b,2869.258,28640,2,8,6,4
49,0x6fF5723435b7dfC2371B57Fb5cB4c373E5995C78,2861.243,28560,2,8,5,6
50,0xAaF48B7705Bf11f95D439d45053188D559a33983,2789.111,27840,2,7,8,4
51,0x59C5EF981ddF319e7Dae5328B4f54E8D1EA1d430,2787.107,27820,2,6,18,2
