s ../csv/Space BLOBz Tier S.csv 980
a ../csv/Space BLOBz Tier A.csv 7200
b ../csv/Space BLOBz Tier B.csv 11348
c ../csv/Space BLOBz Tier C.csv 17815
#,Address,BLZ,Points,S,A,B,C
1,0xfe222BD8FcC0d6Cbec595d2eE000FC4C5f91b906,780185.6,807530,80,7,5,3
2,0x3a79262632AbD073bA445aefDAfF1a5488e20B70,454026.997,469940,46,9,9,4
3,0x31CA194dF1fF4A7bB0c1B874dB4e530Ef1cfD911,405778.054,420000,42,0,0,0
4,0xa027d8d063237bAbFCcd82E0E9d4D97ff45b9321,315289.548,326340,32,6,3,4
5,0xb357082eE428826efDb752af040cbF3Efdb84049,313946.616,324950,32,3,18,15
6,0x0d61f6f25E12d74B8eA7bC9A83526441be832F61,201623.386,208690,20,8,6,9
7,0x50ED192cbe8A4e0B5F94C1Cdd245a92F454b76c5,167219.203,173080,17,3,0,8
8,0x475Cce96552F6Ea23bdf7370Ffb9eb7B3e23b168,116013.878,120080,12,0,0,8
9,0x10034CD27ED599bB54870E84B4bf25B090ec6d2D,96613.822,100000,10,0,0,0
10,0xDDcB91313B1744e366a088061739D138BCcA56bC,92208.232,95440,9,5,4,4
11,0x91bf28E62b7752097aFc4aF2FdbD27d0B41f778f,87145.667,90200,9,0,2,0
12,0xdD61b2a56E18b1cABAbbCd4184e23Cf270218EcB,67629.675,70000,7,0,0,0
13,0xAc2aF0Ed1B7185e4346Cdbf439BDE79d897698Be,56451.456,58430,5,8,4,3
14,0x8ae06d2a588F6A507E0997dcfaeBe5ccf6976bCC,55446.672,57390,5,7,3,9
15,0xC2d118937292ed6614Cdef46ffE336E40731a7a8,53504.734,55380,5,5,3,8
16,0x01D8C737Cf92bAAd532a9F5D5eFb3193d639A9E2,52712.501,54560,5,4,5,6
17,0xcCA02C00Ba4A580eB3EBfa20A317CdC17Caed4D5,52335.707,54170,5,4,1,7
18,0x7b56efC5039eaC595a175712F34344a7Ee105d1D,48316.572,50010,5,0,0,1
19,0xF3A60FD05491731F6004a88CaA91f7f2dc01461B,48306.911,50000,5,0,0,0
20,0x0a5503295a0cf364f39B9E175c4b08Ec8fc82D28,46683.799,48320,4,8,3,2
21,0x3E52151b9F13c1F73c095BE69f6CF4fa3Eac14A2,45823.935,47430,4,7,4,3
22,0x56c202807C8caf656f6818cDC66C51fAf2eA1628,44935.088,46510,4,6,5,1
23,0xefBEe49244701f596E49FB649b46A8853f085020,44567.956,46130,4,6,1,3
24,0x27c1c08A4a12B005DB81521e42e3679710a8C5C8,40577.805,42000,4,2,0,0
25,0x66633Cc6B84CD127A0bb84864c1a4eA0172469A6,40152.704,41560,4,1,5,6
26,0xDBbD65026a07cFbFa1aa92744E4D69951686077d,38800.111,40160,4,0,1,6
27,0x2C21E5bDF5A29C6D6Dc89838C4815B539f9f8B89,38645.528,40000,4,0,0,0
27,0x560545E7f8A76D47056e3928abBF44D4432afc2D,38645.528,40000,4,0,0,0
27,0x656b51e1CEaD1d5C2dD64fA68A76aFB7eF91a528,38645.528,40000,4,0,0,0
30,0x43f591061e0c77f6cc4B2f6539c4e8A1f9aFFaa9,33119.218,34280,3,4,2,8
31,0x84c9c7dc5091AD2cd6a196Cd86581D3A71D551fA,30636.243,31710,3,1,7,1
32,0xe40bBd3CD595b1B834719c3E113ea64bBAc20052,30491.322,31560,3,1,5,6
33,0x29168cce1A88138e9cdD3aEb509F1DfC6E21a857,29370.602,30400,3,0,4,0
34,0x0332A05C57a3c9C56F06329fef7B12f30dff8085,28984.146,30000,3,0,0,0
34,0x22Ad71c076288AF6C73d10eaBaA27178eD243DDD,28984.146,30000,3,0,0,0
34,0x560e1C866725eDC4C3AaABE38683A7Ec8420C31F,28984.146,30000,3,0,0,0
34,0x7185F37F81D132a185C2f4d19b8108C4a705bB3c,28984.146,30000,3,0,0,0
34,0x7B4D11a3E5eaD71AD66fD70eff0Be1a5DD09336B,28984.146,30000,3,0,0,0
34,0xd553Fe129584198F36DcF6e54Cd3176Af2d5BE0b,28984.146,30000,3,0,0,0
40,0x38afAEdb78E2A0018860b06FE231292184CA14c3,28897.194,29910,2,9,9,1
41,0x30790ccD8d366552484a27BD0f42E9c980D1C3E9,28703.966,29710,2,9,7,1
42,0xc60b91e889EFcB261b778E9E49834BCCd316E1bC,28211.236,29200,2,9,2,0
43,0xc047AC8BF1aa561b2385d39E129Aad4c27ea9237,27853.765,28830,2,8,8,3
44,0x1e2C165400D6Ea634771F4c2B3892515a1b6725b,27670.198,28640,2,8,6,4
45,0xAaF48B7705Bf11f95D439d45053188D559a33983,26897.288,27840,2,7,8,4
46,0x59C5EF981ddF319e7Dae5328B4f54E8D1EA1d430,26877.965,27820,2,6,18,2
47,0x98D6716059fE3e1B8a0808d85FE6B9C5795B2E7C,25853.858,26760,2,6,7,6
48,0xf705Cb1501D04462aB7FF142F1F0ad198175725e,25612.324,26510,2,6,5,1
49,0x2Abe15781B310e861Bf70d8988DC5b954F9a2b37,25119.593,26000,2,6,0,0
49,0x6134379f4D8E3a39CaAeF3bdd2b713Dd7461A1Ee,25119.593,26000,2,6,0,0
51,0xf4bD058B86946dff0A6EF2a2977Ee4C40EFe8756,25071.286,25950,2,5,9,5
52,0xE272eD5c779119AF2b12cD560cB9bB8D8a09A539,24704.154,25570,2,0,55,7
53,0xBf1e5F1808C47E50d3f0E99E23c4Ecf664FcC594,23931.243,24770,2,4,7,7
54,0x7a0FB632f86a8C8236aC8960b3a9cada3e7E0B30,23776.661,24610,2,4,6,1
55,0xc560Dfbc06927840cFCDcd75C6662471733CEaBf,23767.0,24600,2,4,6,0
56,0xA200369d36d9a1040bDddDf7F83995220E87211C,23332.238,24150,2,4,1,5
